id,question,gold_answer,model_answer,elapsed_sec
125,What post apocalyptic action film based on a novel by Francis Lawrence was directoed by Neal H. Moritz?,I Am Legend,"1. The question is asking for a post-apocalyptic action film directed by Neal H. Moritz, based on a novel by Francis Lawrence.
2. The relevant parts of the context are the mention of Francis Lawrence, the author of the novel, and the film adaptation of ""Misery"" which was directed by Rob Reiner, not Neal H. Moritz.
3. Since there is no information about a post-apocalyptic action film directed by Neal H. Moritz in the context, the answer is that there is no information to provide.

FINAL_ANSWER: There is no information to provide.",19.1
126,Space Island One starred what English actress who is married to roy battersby,Judy Loe,"1. The question is asking for the English actress who played the role of Kathryn McTiernan in the film ""Space Island One"", which is not explicitly mentioned in the context, but rather ""One Summer Love"" (also known as ""Dragonfly""), and Judy Loe is mentioned as the actress in that film.

2. The relevant parts of the context are:
- The information about Judy Loe, including her birthdate and notable roles.
- The information about the film ""One Summer Love"" (also known as ""Dragonfly""), including its director, screenplay writer, and cast.

3. The answer is not directly related to the question, as the context does not mention Roy Battersby or any connection to the film ""Space Island One"". However, based on the context, Judy Loe is the English actress mentioned, but there is no information about her being married to Roy Battersby.

FINAL_ANSWER: Judy Loe",28.7
127,Who directed a film that included Sarah Manninen?,Martha Coolidge,"1. The question is asking for the director of a film that includes Sarah Manninen.
2. The relevant parts of the context are the information about Sarah Manninen and the film ""The Prince and Me"".
3. The answer is based on the fact that Sarah Manninen is mentioned as an actress in the film ""The Prince and Me"", and the context does not provide information about the director of this film.

FINAL_ANSWER: Martha Coolidge",15.2
128,How much money did the owner of the 165 acre drumlin or the mansion that sits on the hill donate to the construction fund for the Benjamin Stickney Cable Memorial Hospital?,"$145,000","1. The question is asking for the amount of money donated to the construction fund for the Benjamin Stickney Cable Memorial Hospital, but the context does not mention this hospital. Instead, it mentions a donation to the construction fund for a building, but the context does not specify the name of the hospital.

2. The relevant parts of the context are the information about Castle Hill, Frank Ellis Boynton, and the Biltmore Estate. However, none of this information is directly related to the Benjamin Stickney Cable Memorial Hospital or the construction fund donation.

3. Since the context does not provide any information about the Benjamin Stickney Cable Memorial Hospital or the donation amount, the answer is that the amount of money donated to the construction fund is not specified in the context.

FINAL_ANSWER: The amount of money donated to the construction fund is not specified in the context.",26.5
129,Were James Lee Burke and William Faulkner from the same country?,yes,"1. The question is asking if James Lee Burke and William Faulkner were from the same country.
2. The relevant parts of the context are the biographies of James Lee Burke and William Faulkner.
3. The answer is based on the fact that William Faulkner was from Oxford, Mississippi, while James Lee Burke was not mentioned to have a specific country of origin.

FINAL_ANSWER: No",14.8
130,Kentucky is located in a region of america which constitutes as what?,one of the nine Census Bureau Divisions,"Step 1: The question is asking for the region in America that Kentucky is located in, which is a part of the United States.

Step 2: The relevant parts of the context are the first sentence, which states that Kentucky is a state located in the east south-central region of the United States, and the definition of the East South Central States.

Step 3: Based on the context, the answer is that Kentucky is located in the East South Central States.

FINAL_ANSWER: Kentucky is located in the East South Central States.",17.5
131,"270 Park Avenue and The Spiral, are located in which city?",New York City,"1. The question is asking for the location of 270 Park Avenue and The Spiral.
2. The relevant parts of the context are the descriptions of 270 Park Avenue and The Spiral.
3. The answer is based on the fact that both 270 Park Avenue and The Spiral are described as being located in Midtown Manhattan, New York City.

FINAL_ANSWER: Midtown Manhattan, New York City.",14.7
132,In what city is George Washington University Hospital and Psychiatric Institute of Washington located?,"Washington, D.C.","1. The question is asking for the city where George Washington University Hospital and Psychiatric Institute of Washington are located.
2. The relevant parts of the context are the descriptions of the George Washington University Hospital and the Psychiatric Institute of Washington.
3. Both descriptions mention that the hospitals are located in Washington, D.C.

FINAL_ANSWER: Washington, D.C.",12.7
133,Grazia and JJ are both what?,magazine,"Step 1: The question is asking what both Grazia and JJ are, based on the context provided.

Step 2: The relevant parts of the context are the descriptions of Grazia and JJ. Grazia is described as a weekly women's magazine, while JJ is described as a Japanese fashion and lifestyle magazine.

Step 3: Based on the context, both Grazia and JJ are magazines.

FINAL_ANSWER: Both Grazia and JJ are magazines.",15.6
134,Jeremy Theobald and Christoper Nolan share what profession?,producer,"1. The question is asking what profession Jeremy Theobald and Christopher Nolan share.
2. The relevant parts of the context are the descriptions of Jeremy Theobald and Christopher Nolan.
3. The answer is that they share the profession of actor and film director/producer.

FINAL_ANSWER: They share the profession of actor and film director/producer.",13.2
135," When was president of South Korea which  The Presidential Council on Nation Branding, Korea  lies under his direct control born ",24 January 1953,"1. The question is asking for the birth year of the President of South Korea under whose direct control the Presidential Council on Nation Branding, Korea lies.

2. The relevant parts of the context are Moon Jae-in, the current President of South Korea, and the information about his birth year.

3. Based on the context, Moon Jae-in was born in 1953, so the answer is 1953.

FINAL_ANSWER: 1953",16.0
136,"Danish ice hockey coach, Olaf Eller, is the father of Danish professional ice hockey player who was drafted by what team in the first round of the 2007 NHL Entry Draft?",St. Louis Blues,"The question is asking for the team that Lars Fosgaard Eller was drafted by in the first round of the 2007 NHL Entry Draft.

The relevant parts of the context are the information about Lars Fosgaard Eller and the 2007 NHL Entry Draft.

The answer is based on the context, which states that Lars Fosgaard Eller was drafted by the St. Louis Blues in the first round, 13th overall in the 2007 NHL Entry Draft.

FINAL_ANSWER: The St. Louis Blues.",20.0
137,In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,Sex and the City,"1. The question is asking for the name of the show where Cynthia Nixon received the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance.

2. The relevant parts of the context are the information about Cynthia Nixon's performance and awards, specifically the Emmy Award and the Screen Actors Guild Award.

3. Based on the context, Cynthia Nixon received the awards for her performance as Miranda Hobbes in the HBO series ""Sex and the City"".

FINAL_ANSWER: Sex and the City",20.5
138,"What is the stage name for actor who co-stared the 2016 film ""Train to Busan"" with Jung Yu-mi and Ma Dong-seok?",Gong Yoo,"1. The question is asking for the stage name of the actor who co-starred in the 2016 film ""Train to Busan"" with Jung Yu-mi and Ma Dong-seok.
2. The relevant parts of the context are the descriptions of Gong Yoo, Kim Yool-ho, and Do Kyung-soo, as they all co-starred in ""Train to Busan"".
3. The answer is Kim Yool-ho, as he is mentioned as the actor who played ""man in suit 2"" in the film.

FINAL_ANSWER: Kim Yool-ho",20.3
139,"The Domestic Violence Offender Gun Ban, is an amendment to the Omnibus Consolidated Appropriations Act of 1997, the act is often referred to as ""the Lautenberg Amendment"" after its sponsor, Senator Frank Lautenberg, was a United States Senator, and member of the Democratic Party, from which state?",New Jersey,"1. The question is asking for the state from which Senator Frank Lautenberg represented.
2. The relevant parts of the context are the biographical information about Senator Frank Lautenberg and the mention of his sponsorship of the Lautenberg Amendment.
3. The answer is based on the context, which states that Senator Frank Lautenberg was a United States Senator from New Jersey.

FINAL_ANSWER: New Jersey",15.9
140,"Which rocket propelled weapon, sometimes referred to as the ""Stovepipe,"" did Colonel Leslie Alfred Skinner help develop?",Bazooka,"1. The question is asking for the name of the rocket-propelled weapon that Colonel Leslie Alfred Skinner helped develop, which is sometimes referred to as the ""Stovepipe"".
2. The relevant parts of the context are the descriptions of Hermann Oberth and the Bazooka, as well as the mention of the ""Stovepipe"" nickname.
3. Based on the context, the answer is that Colonel Leslie Alfred Skinner helped develop the Bazooka, which is sometimes referred to as the ""Stovepipe"".

FINAL_ANSWER: The Bazooka.",18.5
141,Lars Kristinus Larsen is the founder of the largest Danish retailer operating internationally with stores in how many countries?,41,"1. The question is asking for the number of countries where the largest Danish retailer operating internationally, founded by Lars Kristinus Larsen, has stores.

2. The relevant parts of the context are the descriptions of Jysk and Lars Kristinus Larsen.

3. According to the context, Jysk has 2,300 stores in 41 countries, making Lars Kristinus Larsen the founder of the largest Danish retailer operating internationally.

FINAL_ANSWER: 41",16.3
142,Where is the headquarters of the company who launched the Fridge advertising campaign?,"London, England","1. The question is asking for the location of the headquarters of the company that launched the Fridge advertising campaign.
2. The relevant parts of the context are the information about Diageo, as it is mentioned as the company that launched the Fridge campaign.
3. The answer is based on the fact that Diageo is a British multinational alcoholic beverages company with its headquarters in London, England.

FINAL_ANSWER: London, England.",14.4
143,In what year was Louis Joseph de Frances's mother born?,1755,"1. The question is asking for the birth year of Louis Joseph de France's mother.
2. The relevant parts of the context are the biographies of Marie Antoinette and Louis Joseph de France.
3. According to the context, Marie Antoinette was born on 2 November 1755, making her the mother of Louis Joseph de France.

FINAL_ANSWER: 1755",14.2
144,"The band who had the album ""Brujo"" came from what city?","San Francisco, California","1. The question is asking for the city where the band that released the album ""Brujo"" originated from.
2. The relevant parts of the context are the first paragraph about New Riders of the Purple Sage and the band's emergence from the psychedelic rock scene in San Francisco, California.
3. Based on the context, the answer is that the band who had the album ""Brujo"" came from San Francisco, California.

FINAL_ANSWER: San Francisco, California.",15.6
145,Which television channel had a show set at a location adjacent to Silverado Ranch?,Travel Channel,"1. The question is asking which television channel had a show set at a location adjacent to Silverado Ranch.
2. The relevant parts of the context are the information about the History of Ranching mural and the show ""Bronco"".
3. The answer is based on the fact that the History of Ranching mural was located at the Pearl Brewery in San Antonio, Texas, which is adjacent to Silverado Ranch.

FINAL_ANSWER: ABC",15.1
146,What television adaptation contains a character who was also adapted into a 2005 superhero film?,Gotham,"1. The question is asking for a television adaptation that contains a character who was also adapted into a 2005 superhero film.
2. The relevant parts of the context are the mention of the Justice League animated series, Superman, and the 2005 superhero film.
3. The answer is based on the context that the Justice League animated series is a direct sequel to the previous ""Justice League"" animated series, and Superman is a character from the DC Comics universe, which is also featured in the 2005 superhero film.

FINAL_ANSWER: The Justice League animated series.",19.1
147,"What site, popular among spring breakers, were also places were Jeopardy! Collect Championship contestant searches was held?","Daytona Beach, Florida","1. The question is asking for a location where contestant searches for Jeopardy! Collect Championship were held, which is also a popular spot for spring breakers.

2. The relevant parts of the context are the contestant searches held in Daytona Beach, Florida, and Palm Springs, California, during the Spring break season in 1989.

3. Based on the context, the answer is that the contestant searches for Jeopardy! Collect Championship were held in Daytona Beach, Florida, and Palm Springs, California.

FINAL_ANSWER: Daytona Beach, Florida, and Palm Springs, California.",19.5
148,"The 2011 Copa del Rey was a specific type of rivalry, given this name to any match between which groups?",Real Madrid and FC Barcelona,"1. The question is asking for the type of rivalry given the name ""El Clásico"" to any match between which two groups.
2. The relevant parts of the context are the description of ""El Clásico"" as the name given to any match between fierce rivals Real Madrid and FC Barcelona.
3. The answer is based on the context, which states that ""El Clásico"" is the name given to any match between fierce rivals Real Madrid and FC Barcelona.

FINAL_ANSWER: Real Madrid and FC Barcelona.",17.4
149,"Youthquake is the second album by the British pop group Dead or Alive, released in May 1985, the album was their commercial breakthrough in Europe and the United States, due to which lead single, which was the song was the first UK number-one hit by the Stock Aitken Waterman production trio?",You Spin Me Round (Like a Record),"1. The question is asking for the name of the lead single from Dead or Alive's album ""Youthquake"" that was the first UK number-one hit by the Stock Aitken Waterman production trio.

2. The relevant parts of the context are the information about Dead or Alive's album ""Youthquake"", the song ""You Spin Me Round (Like a Record)"", and the fact that it was a UK number-one hit by the Stock Aitken Waterman production trio.

3. The answer is based on the context, which states that ""You Spin Me Round (Like a Record)"" is the song by Dead or Alive that was their commercial breakthrough in Europe and the United States, and that it was a UK number-one hit by the Stock Aitken Waterman production trio.

FINAL_ANSWER: ""You Spin Me Round (Like a Record)""",28.0
