id,question,gold_answer,model_answer,elapsed_sec
117,What medium-sized bear native to North America can be seen in Harriman State Park?,American black bear,"The question is asking for the medium-sized bear native to North America that can be seen in Harriman State Park.

The relevant parts of the context are the descriptions of the wildlife refuge in the Greater Yellowstone Ecosystem and the American black bear.

The answer is that there is no mention of Harriman State Park in the context, but it does mention the American black bear as a medium-sized bear native to North America. However, the context does not provide information about the bear's presence in Harriman State Park specifically.

FINAL_ANSWER: There is no information in the context about the bear's presence in Harriman State Park.",30.3
118,What company produced both The Barefoot Executive and The Last Flight of Noah's Ark?,Walt Disney,"The question is asking for the company that produced both films.

The relevant parts of the context are the descriptions of The Barefoot Executive and The Last Flight of Noah's Ark, which both mention Walt Disney Productions.

The answer is based on the fact that both films are described as being produced by Walt Disney Productions.

FINAL_ANSWER: Walt Disney Productions.",19.1
119,What politician from New York served two terms representing New York in the United States Senate? ,Hillary Rodham Clinton,"The question is asking for the name of the politician from New York who served two terms representing New York in the United States Senate.

The relevant parts of the context are the descriptions of Hillary Rodham Clinton's Senate terms, specifically the 2000 and 2006 elections.

The answer is based on the context, which states that Hillary Rodham Clinton won two Senate terms, representing New York, with a margin of more than two-to-one in both elections.

FINAL_ANSWER: Hillary Rodham Clinton.",25.5
120,Trim is a transitway station in the east end of a city that as of 2016 had a population of what?,"934,243","The question is asking for the population of the city where Trim is located, as of 2016.

The relevant parts of the context are the information about Trim, the city population of Ottawa, and the metropolitan population of Ottawa.

The answer is based on the context, which states that as of 2016, Ottawa had a city population of 934,243.

FINAL_ANSWER: The population of the city where Trim is located, as of 2016, was 934,243.",22.9
121,The manager in which Mark Lazarus clashed with served as manager for the Wolverhampton Wanderers during which years?,1948 and 1964,"The question is asking for the years during which the manager who clashed with Mark Lazarus (not mentioned in the context) served as manager of Wolverhampton Wanderers.

The relevant parts of the context are the information about Stan Cullis, who was the manager of Wolverhampton Wanderers during the time Gerard Patrick Mannion played for the club.

The answer is based on the context, which states that Stan Cullis was the manager of Wolverhampton Wanderers between 1948 and 1964.

FINAL_ANSWER: Stan Cullis served as manager of Wolverhampton Wanderers between 1948 and 1964.",32.3
122,In which city did this world games take place when Squash was added as part of the world games?,"Lahti, Finland","The question is asking for the city where the World Games took place when Squash was added as part of the World Games.

The relevant parts of the context are the information about the 1997 World Games and the addition of Squash as a sport.

The answer is based on the fact that Squash was added as a sport at the 1997 World Games, and according to the context, the 1997 World Games were held in Lahti, Finland.

FINAL_ANSWER: Lahti, Finland",24.0
123,Are Latina and Entrepreneur both monthly publications?,no,"1. The question is asking whether Latina and Entrepreneur are both monthly publications.
2. The relevant parts of the context are the descriptions of Latina magazine and the awards received by Christy Haubegger, as well as the information about CIO magazine.
3. The context does not provide information about the frequency of publication for Entrepreneur, but it does mention that Latina magazine publishes 12 issues annually, which is not necessarily monthly.

FINAL_ANSWER: No, Latina magazine is not a monthly publication.",16.8
124,Are Lucie Šafářová and Pavel Složil both Czech tennis players?,yes,"The question is asking if Lucie Šafářová and Pavel Složil are both Czech tennis players.

The relevant parts of the context are the descriptions of Lucie Šafářová and Pavel Složil, which state that they are from Czechoslovakia and Czech respectively.

Based on this context, it can be concluded that Lucie Šafářová is a Czech tennis player, but Pavel Složil is from Czechoslovakia, not Czech.

FINAL_ANSWER: Lucie Šafářová is a Czech tennis player, but Pavel Složil is not.",17.9
125,What post apocalyptic action film based on a novel by Francis Lawrence was directoed by Neal H. Moritz?,I Am Legend,"1. The question is asking for a post-apocalyptic action film directed by Neal H. Moritz, based on a novel by Francis Lawrence.
2. The relevant parts of the context are the information about the film ""Lawrence of Arabia"" and the mention of Francis Lawrence as a novelist.
3. However, there is no information in the context about a post-apocalyptic action film directed by Neal H. Moritz, or a novel by Francis Lawrence that matches this description.

FINAL_ANSWER: There is no information in the context to answer this question.",17.6
126,Space Island One starred what English actress who is married to roy battersby,Judy Loe,"1. The question is asking for the English actress who played the role of Kathryn McTiernan in the film ""Space Island One"", which is not explicitly mentioned in the context, but rather ""One Summer Love"" is mentioned. However, the context does mention a co-production between Sky One and Vox, and a film titled ""One Summer Love"" starring Judy Loe. It can be inferred that the question is actually asking about Judy Loe.

2. The relevant parts of the context are:
- The co-production between the UK's Sky One channel and the German Vox channel.
- The film ""One Summer Love"" starring Judy Loe as Kathryn McTiernan.

3. Based on the context, Judy Loe is the English actress who starred in the film ""One Summer Love"", which is a co-production between Sky One and Vox.

FINAL_ANSWER: Judy Loe",26.9
127,Who directed a film that included Sarah Manninen?,Martha Coolidge,"The question is asking who directed a film that included Sarah Manninen.

The relevant parts of the context are the information about Sarah Manninen and the film ""The Prince and Me"".

The answer is Martha Coolidge, as she directed the film ""The Prince and Me"", which includes Sarah Manninen.

FINAL_ANSWER: Martha Coolidge directed the film ""The Prince and Me"", which includes Sarah Manninen.",14.0
128,How much money did the owner of the 165 acre drumlin or the mansion that sits on the hill donate to the construction fund for the Benjamin Stickney Cable Memorial Hospital?,"$145,000","The question is asking for the amount of money donated to the construction fund for the Benjamin Stickney Cable Memorial Hospital, but the context does not mention this hospital or any donation related to it.

The relevant parts of the context are the information about Castle Hill, Frank Ellis Boynton, and the Biltmore Estate. However, none of this information is related to the Benjamin Stickney Cable Memorial Hospital or a donation to its construction fund.

Therefore, the answer is that there is no information in the context about a donation to the construction fund for the Benjamin Stickney Cable Memorial Hospital.

FINAL_ANSWER: There is no information in the context about a donation to the construction fund for the Benjamin Stickney Cable Memorial Hospital.",21.8
129,Were James Lee Burke and William Faulkner from the same country?,yes,"The question is asking whether James Lee Burke and William Faulkner were from the same country.

The relevant parts of the context are the biographical information about James Lee Burke and William Faulkner.

The answer is based on the fact that William Faulkner was from Oxford, Mississippi, while James Lee Burke was from the United States, but the specific state is not mentioned.

FINAL_ANSWER: No, they were not from the same country.",15.0
130,Kentucky is located in a region of america which constitutes as what?,one of the nine Census Bureau Divisions,"The question is asking for the region in America that Kentucky is located in.

The relevant parts of the context are the descriptions of the East South Central States and the Bluegrass region.

The answer is based on the context, which states that Kentucky is located in the east south-central region of the United States.

FINAL_ANSWER: Kentucky is located in the east south-central region of the United States.",13.3
131,"270 Park Avenue and The Spiral, are located in which city?",New York City,"The question is asking for the location of 270 Park Avenue and The Spiral.

The relevant parts of the context are the descriptions of 270 Park Avenue and The Spiral, which both mention being located in the Hudson Yards neighborhood of Manhattan, New York City.

The answer is that 270 Park Avenue and The Spiral are located in Manhattan, New York City.

FINAL_ANSWER: Manhattan, New York City.",14.1
132,In what city is George Washington University Hospital and Psychiatric Institute of Washington located?,"Washington, D.C.","The question is asking for the city where George Washington University Hospital and Psychiatric Institute of Washington are located.

The relevant parts of the context are the descriptions of each hospital, which all mention that they are located in Washington, D.C.

Based on this, the answer is that George Washington University Hospital and Psychiatric Institute of Washington are both located in Washington, D.C.

FINAL_ANSWER: Washington, D.C.",13.5
133,Grazia and JJ are both what?,magazine,"The question is asking what both Grazia and JJ are.

The relevant parts of the context are the descriptions of Grazia and JJ as magazines and JJ as a Japanese fashion and lifestyle magazine.

Based on this, the answer is that both Grazia and JJ are magazines.

FINAL_ANSWER: Both Grazia and JJ are magazines.",12.2
134,Jeremy Theobald and Christoper Nolan share what profession?,producer,"1. The question is asking what profession Jeremy Theobald and Christopher Nolan share.
2. The relevant parts of the context are the descriptions of Jeremy Theobald and Christopher Nolan.
3. The answer is that they share the profession of acting, as Jeremy Theobald is described as a British actor and Christopher Nolan is described as a film director, producer, and screenwriter, all of which involve acting in the context of film.

FINAL_ANSWER: They share the profession of acting.",16.8
135," When was president of South Korea which  The Presidential Council on Nation Branding, Korea  lies under his direct control born ",24 January 1953,"The question is asking for the birth year of the President of South Korea under whose direct control the Presidential Council on Nation Branding, Korea lies.

The relevant parts of the context are:
- The information about Moon Jae-in, the current President of South Korea.
- The fact that the Presidential Council on Nation Branding, Korea lies under the direct control of the President of South Korea.

Based on this, the answer is that Moon Jae-in was born in 1953.

FINAL_ANSWER: Moon Jae-in was born in 1953.",19.2
136,"Danish ice hockey coach, Olaf Eller, is the father of Danish professional ice hockey player who was drafted by what team in the first round of the 2007 NHL Entry Draft?",St. Louis Blues,"The question is asking for the team that Lars Fosgaard Eller was drafted by in the first round of the 2007 NHL Entry Draft.

The relevant parts of the context are the information about Lars Fosgaard Eller and the 2007 NHL Entry Draft.

The answer is based on the context, which states that Lars Fosgaard Eller was drafted by the St. Louis Blues in the first round, 13th overall in the 2007 NHL Entry Draft.

FINAL_ANSWER: The St. Louis Blues.",21.0
137,In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,Sex and the City,"The question is asking for the name of the show where Cynthia Nixon received the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance.

The relevant parts of the context are the information about Cynthia Nixon's performance and awards, specifically her portrayal of Miranda Hobbes in the HBO series ""Sex and the City"".

The answer is based on the context, which states that Cynthia Nixon received the awards for her performance in ""Sex and the City"".

FINAL_ANSWER: Sex and the City",20.6
138,"What is the stage name for actor who co-stared the 2016 film ""Train to Busan"" with Jung Yu-mi and Ma Dong-seok?",Gong Yoo,"The question is asking for the stage name of the actor who co-starred in the 2016 film ""Train to Busan"" with Jung Yu-mi and Ma Dong-seok.

The relevant parts of the context are the descriptions of Gong Yoo, Kim Yool-ho, and Do Kyung-soo, as well as the information about the film ""Train to Busan"".

The answer is based on the context, which states that Kim Yool-ho played the role of ""man in suit 2"" in ""Train to Busan"", but does not mention him as the main co-star. However, it does mention that Gong Yoo, Jung Yu-mi, and Ma Dong-seok starred in the film, but does not provide information on the co-star's stage name. The context does mention Do Kyung-soo, but it does not mention him as a co-star in ""Train to Busan"". However, it does mention that Do Kyung-soo played a lead role in a different film, and that he is a singer and actor. The context does not provide information on the co-star's stage name, but it does mention that Do Kyung-soo is also known by his stage name ""D.O."". Since the context does not provide information on the co-star's stage name, but does mention Do Kyung-soo's stage name, it can be inferred that the co-star is actually Do Kyung-soo, who is also known as D.O.

FINAL_ANSWER: D.O.",46.5
139,"The Domestic Violence Offender Gun Ban, is an amendment to the Omnibus Consolidated Appropriations Act of 1997, the act is often referred to as ""the Lautenberg Amendment"" after its sponsor, Senator Frank Lautenberg, was a United States Senator, and member of the Democratic Party, from which state?",New Jersey,"The question is asking for the state from which Senator Frank Lautenberg represented.

The relevant parts of the context are the biographical information about Frank Lautenberg, specifically that he was a United States Senator from New Jersey.

The answer is based on this information, which states that Frank Lautenberg was a United States Senator from New Jersey.

FINAL_ANSWER: New Jersey",16.3
140,"Which rocket propelled weapon, sometimes referred to as the ""Stovepipe,"" did Colonel Leslie Alfred Skinner help develop?",Bazooka,"The question is asking for the specific rocket-propelled weapon that Colonel Leslie Alfred Skinner helped develop.

The relevant parts of the context are the descriptions of Hermann Oberth and the Bazooka, as well as the mention of the ""Stovepipe"" nickname for the Bazooka.

Based on the context, it can be inferred that Colonel Leslie Alfred Skinner helped develop the Bazooka, which is sometimes referred to as the ""Stovepipe"".

FINAL_ANSWER: Colonel Leslie Alfred Skinner helped develop the Bazooka.",19.6
141,Lars Kristinus Larsen is the founder of the largest Danish retailer operating internationally with stores in how many countries?,41,"The question is asking for the number of countries where the largest Danish retailer operating internationally, founded by Lars Kristinus Larsen, has stores.

The relevant parts of the context are the information about Jysk, the largest Danish retailer operating internationally, and its number of stores in other countries.

The answer is based on the context, which states that Jysk has 2,300 stores in 41 countries.

FINAL_ANSWER: Jysk has stores in 41 countries.",18.6
142,Where is the headquarters of the company who launched the Fridge advertising campaign?,"London, England","The question is asking for the location of the headquarters of the company that launched the Fridge advertising campaign.

The relevant parts of the context are the information about Diageo plc, which is the company that launched the Fridge advertising campaign.

The answer is based on the context, which states that Diageo plc is a British multinational alcoholic beverages company with its headquarters in London, England.

FINAL_ANSWER: London, England.",16.0
143,In what year was Louis Joseph de Frances's mother born?,1755,"The question is asking for the birth year of Louis Joseph de France's mother, Marie Antoinette.

The relevant parts of the context are the biographies of Marie Antoinette and Louis Joseph de France.

The answer is based on the context, which states that Marie Antoinette was born on 2 November 1755.

FINAL_ANSWER: 1755",14.9
144,"The band who had the album ""Brujo"" came from what city?","San Francisco, California","The question is asking for the city where the band that released the album ""Brujo"" originated from.

The relevant parts of the context are the first paragraph, which mentions that the band New Riders of the Purple Sage emerged from the psychedelic rock scene in San Francisco, California, in 1969.

The answer is based on this context, which states that the band New Riders of the Purple Sage emerged from the psychedelic rock scene in San Francisco, California.

FINAL_ANSWER: San Francisco, California.",17.8
145,Which television channel had a show set at a location adjacent to Silverado Ranch?,Travel Channel,"1. The question is asking which television channel had a show set at a location adjacent to Silverado Ranch.
2. The relevant parts of the context are the information about the History of Ranching mural and the show ""Bronco"" which is a Western series on ABC.
3. The answer is based on the fact that the History of Ranching mural was located at the Pearl Brewery in San Antonio, Texas, which is adjacent to Silverado Ranch.

FINAL_ANSWER: ABC",18.1
146,What television adaptation contains a character who was also adapted into a 2005 superhero film?,Gotham,"The question is asking for a television adaptation that contains a character who was also adapted into a 2005 superhero film.

The relevant parts of the context are the mention of the Justice League animated series, which is a television adaptation, and the 2005 superhero film ""Man of Steel"", which features the character Superman.

The answer is based on the context, which states that the Justice League animated series is a direct sequel to the previous ""Justice League"" animated series, and that it features a wide array of superheroes from the DC Comics universe, including Superman. Since ""Man of Steel"" is a 2013 film, not a 2005 film, the correct answer is likely the 2001 animated series ""Justice League"", which is a direct sequel to the previous ""Justice League"" animated series.

FINAL_ANSWER: The 2001 animated series ""Justice League"".",27.7
147,"What site, popular among spring breakers, were also places were Jeopardy! Collect Championship contestant searches was held?","Daytona Beach, Florida","The question is asking for a site that was popular among spring breakers and where contestant searches for Jeopardy! Collect Championship were held.

The relevant parts of the context are the descriptions of Spring break in Daytona Beach, Florida, and the contestant searches held in Daytona Beach, Florida, and Palm Springs, California.

The answer is Daytona Beach, Florida, as it is mentioned as a location where contestant searches for Jeopardy! Collect Championship were held, and it is also described as a popular location for Spring break gatherings.

FINAL_ANSWER: Daytona Beach, Florida.",18.8
148,"The 2011 Copa del Rey was a specific type of rivalry, given this name to any match between which groups?",Real Madrid and FC Barcelona,"1. The question is asking about the specific type of rivalry given the name ""El Clásico"" to any match between which two groups.
2. The relevant parts of the context are the description of ""El Clásico"" as the name given to any match between fierce rivals Real Madrid and FC Barcelona.
3. The answer is based on the context, which states that ""El Clásico"" is the name given to any match between fierce rivals Real Madrid and FC Barcelona.

FINAL_ANSWER: Real Madrid and FC Barcelona.",17.8
149,"Youthquake is the second album by the British pop group Dead or Alive, released in May 1985, the album was their commercial breakthrough in Europe and the United States, due to which lead single, which was the song was the first UK number-one hit by the Stock Aitken Waterman production trio?",You Spin Me Round (Like a Record),"The question is asking for the lead single from Dead or Alive's album ""Youthquake"" that was the first UK number-one hit by the Stock Aitken Waterman production trio.

The relevant parts of the context are the information about Dead or Alive's album ""Youthquake"", the song ""You Spin Me Round (Like a Record)"", and the fact that it was a UK number-one hit.

The answer is based on the context, which states that ""You Spin Me Round (Like a Record)"" was the lead single from Dead or Alive's album ""Youthquake"" and was a UK number-one hit, making it the first hit by the Stock Aitken Waterman production trio.

FINAL_ANSWER: ""You Spin Me Round (Like a Record)""",25.8
